"Id";"Descricao";"TipoUnidade_id";"Ativo";"NomeExibicao"
"01056001007";"ASV V- Área de Sinalização Viária V - DETRAN";"4";"0";"ASV V"
"01056001008";"NUEST- Núcleo de Sinalização Estratigráfica - DETRAN";"4";"0";"NUEST"
"01056002";"CGATE - Coordenadoria Geral de Atendimento ao Usuário - DETRAN";"4";"1";"CGATE"
"01056002001";"NUATE II - Núcleo de Atendimento à Entidade Pública e Credenciada de Taguatinga - DETRAN";"4";"0";"NUATE II"
"01056002002";"NUATE I - Núcleo de Atendimento às Entidades Públicas Credenciadas de Brasília - DETRAN";"4";"0";"NUATE I"
"01056002003";"GERTRAN II - Gerência Regional de Trânsito de Taguatinga - DETRAN";"4";"0";"GERTRAN II"
"01056002004";"NUVEI I - Núcleo de Atendimento de Veículo de Brasília - DETRAN";"4";"0";"NUVEI I"
"01056002005";"NUVEI II - Núcleo de Atendimento de Veículo de Taguatinga - DETRAN";"4";"0";"NUVEI II"
"01056002006";"NUVEI IV - Núcleo de Atendimento de Veículos do Paranoá - DETRAN";"4";"0";"NUVEI IV"
"01056002007";"NUVEI VI - Núcleo de Atendimento de Veículos de Sobradinho - DETRAN";"4";"0";"NUVEI VI"
"01056002008";"NUVEI V - Núcleo de Atendimento de Veículos do Gama - DETRAN";"4";"0";"NUVEI V"
"01056002009";"NUHAB IV - Núcleo de Atendimento de Habilitação do Paranoá - DETRAN";"4";"0";"NUHAB IV"
"01056002010";"NUHAB VI - Núcleo de Atendimento de Habilitação de Sobradinho - DETRAN";"4";"0";"NUHAB VI"
"01056002011";"NUHAB II - Núcleo de Atendimento de Habilitação de Taguatinga - DETRAN";"4";"0";"NUHAB II"
"01056002012";"NUHAB V - Núcleo de Atendimento de Habilitação Gama - DETRAN";"4";"0";"NUHAB V"
"01056002013";"NUHAB I - Núcleo de Atendimento de Habilitação de Brasília - DETRAN";"4";"0";"NUHAB I"
"01056002014";"GERTRAN I - Gerência Regional de Trânsito de Brasília";"4";"0";"GERTRAN I"
"01056002015";"GERTRAN IV - Gerência Regional de Trânsito do Paranoá";"4";"0";"GERTRAN IV"
"01056002016";"GERTRAN V - Gerência Regional de Trânsito do Gama";"4";"0";"GERTRAN V"
"01056002017";"GERTRAN VI - Gerência Regional de Trânsito de Sobradinho";"4";"0";"GERTRAN VI"
"01056002018";"NUTRAN III - Núcleo Regional de Trânsito de Brazlândia - DETRAN";"4";"0";"NUTRAN III - DETRAN"
"01056002019";"NUTRAN II - Núcleo Regional de Trânsito de Planaltina - DETRAN";"4";"0";"NUTRAN II - DETRAN"
"01056002020";"NUTRAN IV - Núcleo Regional de Trânsito do Recanto das Emas - DETRAN";"4";"0";"NUTRAN IV - DETRAN"
"01056003";"GERPEN - Gerência de Registro e Controle de Penalidade - DETRAN";"4";"1";"GERPEN"
"01056004";"SEJARI - Secretaria Executiva das Juntas de Recursos de Infrações - DETRAN";"4";"1";"SEJARI"
"01056005";"NA HORA - Rodoviária do Plano Piloto";"4";"1";"NA HORA - Rodoviária"
"01056006";"GERTRAN V - Gerência Regional de Trânsito do Gama - DETRAN";"4";"1";"GERTRAN V"
"01056007";"GERSA - Gerência de Saúde - DETRAN";"4";"1";"GERSA"
"01056008";"NUSEG - Núcleo de Serviços Gerais - DETRAN";"4";"1";"NUSEG"
"01056009";"Denúncia DETRAN";"4";"1";"Denúncia"
"01056010";"Núcleo de Registro Nacional de Condutores Habilitados – NURACH";"4";"0";"NURACH"
"01056011";"GERPES - GERÊNCIA DE GESTÃO DE PESSOAS - DETRAN";"4";"1";"GERPES"
"01056012";"GERTE - Gerência de Credenciamento ao Transporte Escolar - DETRAN";"4";"0";"GERTE"
"01056013";"GERTRAN VI - Gerência Regional de Trânsito de Sobradinho - DETRAN";"4";"1";"GERTRAN VI"
"01056014";"GERHAB - Gerência de Habilitação e Controle de Condutores - DETRAN";"4";"1";"GERHAB"
"01056014001";"NURACH - Núcleo de Registro Nacional de Condutores Habilitados";"4";"1";"NURACH"
"01056014002";"NUHAB 02 - Núcleo de Atendimento de Habilitação de Taguatinga";"4";"1";"NUHAB 2"
"01056014003";"NUHAB 04 - Núcleo de Atendimento de Habilitação do Paranoá";"4";"0";"NUHAB 04"
"01056014004";"NUHAB 01 - Núcleo de Atendimento de Habilitação de Brasília";"4";"1";"NUHAB 01"
"01056014005";"NUHAB 05 - Núcleo de Atendimento de Habilitação Gama";"4";"1";"NUHAB 05"
"01056014006";"NUHAB 06 - Núcleo de Atendimento de Habilitação de Sobradinho";"4";"1";"NUHAB 06"
"01056015";"NUHAB I - Núcleo de Atendimento de Habilitação de Brasília  - DETRAN";"4";"0";"NUHAB I"
"01056016";"DIRCREP - Diretoria de Credenciamento de Entidades e Profissionais";"4";"1";"DIRCREP"
